RANKING 0 a 50m³;Nome do Posto;Pontos Cursos;Pontos Combustíveis;Total Geral;;Posto Nacional;0;0;0
5;11530 - POSTO DE COMBUSTIVEIS RIO DOCE LTDA;24;0;24;;;;;
6;13108- DANIELI E DANIELI AUTO POSTO LTDA;0;0;0;;;;;
7;1950 - FOPA & GOLANOSKI LTDA;0;0;0;;;;;
;;;;;;;;;
;;;;;;;;;
RANKING acima de 501m³;Nome do Posto;Pontos Cursos;Pontos Combustíveis;Total Geral;;;;;
1;153 - MAHLE 11 COMERCIO DE COMBUSTIVEIS LTDA;0;0;0;;;;;
2;6565 - AUTO POSTO E MECANICA BARAO LTDA - FILIAL 01;12;0;12;;;;;
3;1152 -JF COMERCIO DE COMB.;0;0;0;;;;;
4;6258 - REDE TONIN COMERCIO DE COMBUSTIVEIS - POSTO 369 LTDA;0;0;0;;;;;
5;1762 - AUTO POSTO LB LTDA;12;0;12;;;;;
6;11486 - AUTO POSTO OESTE VERDE LTDA;0;0;0;;;;;
7;2295 - POSTO PARQUE DO BOSQUE LTDA;12;0;12;;;;;
8;AUTO POSTO ALLEGRO PIRAI LTDA;24;0;24;;;;;
9;1872 - AUTO POSTO UBIRATA LEAL LTDA;0;0;0;;;;;
